Date,2005,2006,2007,2008,2009,2010,2011,2012
03-Apr,0.000156884,0.002021712,0.002675428,0.00444363,0.000658095,0.001925308,0.001876469,0.007744128
04-Apr,0.003393628,0.000849888,0.000932899,0.002896284,0.002811984,0.001909871,0.001995405,0.003072871
05-Apr,0.010216708,0.001548803,0.000266067,0.001604898,0.006707386,0.000237535,0.001818048,0.00164237
06-Apr,0.008061593,0.001710167,0.000976526,0.002239171,0.008920571,0.001414312,0.001006417,0.00101362
07-Apr,0.001295928,0.003304756,0.000267747,0.003593147,0.002590357,0.003053193,0.001743155,0.000268771
08-Apr,0.00190738,0.00538918,0.000469547,0.001730087,0.00304037,0.004046119,0.001995405,0.000389356
09-Apr,0.003034576,0.003992181,3.44E-06,0.003194125,0.002590357,0.005263361,0.000836118,0.000413199
10-Apr,0.003718519,0.003494257,0.000459182,0.004104738,0.000925168,0.001851609,0.000177824,0.000542013
11-Apr,1.92E-05,0.00260167,0.000845338,0.003593147,0.001366765,0.000729113,0.000242931,0.001672239
12-Apr,0.001994899,0.000616562,0.002082,0.00225813,0.002466799,0.000958488,0.000722539,0.002903276
13-Apr,0.000912303,0.002168922,0.005863705,0.006512522,0.0016411,0.00129667,0.002664187,0.00674925
14-Apr,0.00121699,0.000868382,0.004515877,0.006626576,0.003106845,0.000294955,0.005253646,0.008186146
15-Apr,0.001616876,4.25E-06,0.003572639,0.01072692,0.003173859,7.49E-05,0.003973545,0.007502583
16-Apr,0.002855781,6.99E-05,0.001789582,0.011072655,0.001431083,0.000159252,0.001995405,0.007359048
17-Apr,0.004397081,0.000117468,0.000349242,0.006063891,0.00558731,0.000123171,0.003934537,0.003603126
18-Apr,0.006645498,9.28E-06,0.000776164,0.004200519,0.005923753,9.69E-05,0.000838281,0.003566791
19-Apr,0.006588482,0.000191503,0.000412648,0.004057163,0.006442124,0.000805421,0.000812473,0.002903276
20-Apr,0.007342235,0.000168007,0.000621352,0.003325143,0.006354599,0.000787229,0.000712343,0.00173811
21-Apr,0.006082722,0.00023385,3.41E-06,0.002049289,0.005016494,0.000304668,0.000456866,0.001173696
22-Apr,0.003813137,0.00515097,0.001051851,0.001778384,0.002811984,0.004288767,2.53E-06,0.001530206
23-Apr,0.004446974,0.005882482,0.002555419,0.002569661,0.003106845,0.006778381,0.000840445,0.00133246
24-Apr,0.004297855,0.004095923,0.004128527,2.42E-05,0.00542187,0.004788601,0.000333577,0.001350008
