Date,2005,2006,2007,2008,2009,2010,2011,2012
28-Mar,0.002875893,0.006411471,NaN,0.0087004,0.002557736,0.001243901,0.004861377,0.00697533
29-Mar,0.002440875,0.001940233,NaN,0.013083799,0.002388524,6.38E-05,0.007530433,0.007453124
30-Mar,0.002839914,0.003661413,NaN,0.010528341,0.001088455,0.002009799,0.014863451,0.00660125
31-Mar,0.003503061,0.002526513,NaN,0.016942166,0.000775047,0.00270598,0.006721423,0.010274695
01-Apr,0.002009956,0.008184242,NaN,0.013459082,0.000315596,0.00199164,0.007697249,0.011154331
02-Apr,0.000639384,0.00948532,NaN,0.013553285,0.00089118,0.004330534,0.006986437,0.009263889
03-Apr,0.000716618,0.00825499,NaN,0.012803957,0.002876753,0.002446192,0.004637153,0.006009159
04-Apr,0.002096576,0.009337914,NaN,0.010439498,0.004290987,0.001883657,0.003748444,0.005875345
05-Apr,0.00661101,0.006085873,NaN,0.005624063,0.006491762,0.002972929,0.003549591,0.005053075
06-Apr,0.00661101,0.005957079,NaN,0.007693434,0.004832645,0.003246747,0.002982831,0.00161469
07-Apr,0.005000332,0.010765937,NaN,0.008956543,0.002817922,0.005456248,0.00366831,0.002175674
08-Apr,0.003278443,0.012735453,NaN,0.005910345,0.003145926,0.006148694,0.003355688,0.001064499
09-Apr,0.003923613,0.009931695,NaN,0.007364261,0.002557736,0.00673589,0.00246132,0.000298724
10-Apr,0.003769406,0.014717343,NaN,0.009214391,0.001714861,0.003669785,0.005611144,0.003253096
11-Apr,0.003769406,0.007418326,NaN,0.010439498,0.003329314,0.003246747,0.0013533,0.004720193
12-Apr,0.003503061,0.008755334,NaN,0.008193338,0.004257777,0.003316243,0.001557276,0.006279978
13-Apr,0.003057349,0.009707732,NaN,0.014887797,0.003865351,0.002510451,0.009395098,0.005964436
14-Apr,0.000629243,0.006477203,NaN,0.013365031,0.004324274,0.00162124,0.009579499,0.010383243
15-Apr,0.001127726,0.003755972,NaN,0.02196036,0.004832645,0.000736111,0.006054313,0.012930232
16-Apr,0.003241346,0.002078883,NaN,0.022807356,0.005464417,0.001052178,0.004288458,0.009897978
17-Apr,0.00483705,0.000698298,NaN,0.01479152,0.005357522,0.000838738,0.002733783,0.00697533
18-Apr,0.006523692,0.001141879,NaN,0.011516914,0.006567139,0.000351928,0.003394071,0.00404003
19-Apr,0.004796427,0.001602306,NaN,0.008025896,0.006680689,0.002037125,0.001171914,0.006508879
20-Apr,0.004514325,0.002591151,NaN,0.011155065,0.006756711,0.003456459,0.001076557,0.00404003
21-Apr,0.002984458,0.005512932,NaN,0.009387225,0.00564397,0.003562676,0.001985838,0.003847213
22-Apr,0.003167448,0.013386432,NaN,0.005470698,0.004357637,0.005376318,0.00242818,0.00459745
23-Apr,0.003167448,0.012253708,NaN,0.004593812,0.003237232,0.007337743,0.004118777,0.006694083
24-Apr,0.003315638,0.013798237,NaN,0.000344024,0.004593307,0.004633779,0.005708299,0.007598641
25-Apr,0.003130648,0.006280617,NaN,0.00631815,0.003055405,0.002028005,0.010720069,0.007647369
26-Apr,0.002689965,0.007555886,NaN,0.005402005,0.003547138,0.002905537,0.009395098,0.008746961
27-Apr,0.002622758,0.004537968,NaN,0.005166946,0.002557736,0.003040751,0.010850399,0.011042978
28-Apr,0.003390319,0.004957455,NaN,0.009128254,0.001592323,0.001275821,0.009395098,0.010492196
29-Apr,0.001884908,0.002963105,NaN,0.017540204,0.003547138,0.002382401,0.0030558,0.011490758
30-Apr,0.002354527,0.004478963,NaN,0.021749775,0.004224645,0.001567268,0.004331365,0.011322101
01-May,0.003465385,0.004420192,NaN,0.01864889,0.005898231,0.002073718,0.003870122,0.007991541
02-May,0.008273068,0.002793096,NaN,0.017841011,0.006680689,0.003669785,0.008035867,0.009526282
03-May,0.006786452,0.002671379,NaN,0.012248513,0.009402878,0.003850249,0.003748444,0.007260659
04-May,0.005962815,0.006021372,NaN,0.0138368,0.00944493,0.004519392,0.003019215,0.00548037
05-May,0.003093948,0.009264474,NaN,0.011881411,0.010039493,0.008857167,0.004288458,0.00565471
06-May,0.003578695,0.011074294,NaN,0.007942476,0.006756711,0.010118668,0.003317503,0.002661618
07-May,0.001826334,0.018657073,NaN,0.007610829,0.006155809,0.009881543,0.0061045,0.002430525
