Date,2005,2006,2007,2008,2009,2010,2011,2012
04-Apr,0.00261449,0.003756822,0.002288612,0.075533147,0.00649025,0.00740617,0.004143703,0.004142769
05-Apr,0.00463989,0.004143932,0.001794178,0.076508702,0.009014426,0.008094674,0.003756962,0.004371938
06-Apr,0.00463989,0.003328825,0.001547992,0.079053448,0.005720147,0.007510613,0.004222854,0.004117608
07-Apr,0.003751642,0.004830585,0.001547992,0.078397616,0.006740256,0.007458324,0.004518149,0.003992712
08-Apr,0.003360832,0.005230302,0.002073637,0.078529543,0.006740256,0.007668292,0.004490976,0.003461438
09-Apr,0.00315691,0.005607244,0.002389082,0.080590114,0.006342379,0.007880413,0.00457269,0.003579542
10-Apr,0.003535751,0.005046674,0.002150839,0.083401157,0.006051446,0.006441352,0.004737874,0.004397702
11-Apr,0.003190445,0.004110959,0.002189857,0.084108009,0.006391492,0.005434225,0.004275952,0.004658617
12-Apr,0.003571279,0.004012819,0.002574199,0.084108009,0.007149485,0.004754422,0.004013115,0.005364487
13-Apr,0.003678952,0.003948041,0.003027078,0.086056806,0.007149485,0.004977274,0.004545387,0.005589535
14-Apr,0.002554105,0.003788367,0.002894732,0.086056806,0.008166661,0.004405799,0.004545387,0.005281039
15-Apr,0.002831518,0.003478757,0.002348689,0.086169076,0.009364523,0.004192946,0.003935563,0.005143112
16-Apr,0.003825059,0.003240427,0.002170313,0.087058238,0.009305739,0.004192946,0.003532214,0.005143112
17-Apr,0.005184629,0.002370493,0.001959936,0.084108009,0.010022616,0.004320189,0.003241205,0.00497951
18-Apr,0.004929373,0.002654463,0.00166929,0.081586971,0.010452316,0.004977274,0.002983275,0.004925442
19-Apr,0.004804213,0.002734652,0.00166929,0.078397616,0.010022616,0.005905892,0.00358168,0.005225695
20-Apr,0.004241856,0.003067145,0.00153096,0.078661087,0.009188691,0.00654055,0.002601607,0.0051157
21-Apr,0.003606988,0.003388408,0.001686913,0.0781326,0.008221954,0.007044913,0.003483022,0.005033812
22-Apr,0.00386204,0.004584366,0.001959936,0.077056608,0.007201434,0.007458324,0.004490976,0.004844778
23-Apr,0.003788259,0.004243627,0.001904041,0.078265303,0.007201434,0.007668292,0.00465499,0.004501354
24-Apr,0.003899202,0.004143932,0.002308569,0.072162736,0.00679079,0.005810397,0.00465499,0.004658617
25-Apr,0.003936547,0.002870909,0.002872902,0.079183487,0.006943454,0.003538513,0.004518149,0.005253338
26-Apr,0.003500404,0.002471925,0.002786237,0.081463519,0.007201434,0.004535378,0.004990006,0.005420406
27-Apr,0.003751642,0.002788763,0.00249125,0.0810912,0.008166661,0.005158267,0.005628025,0.005674868
28-Apr,0.004087745,0.002575449,0.002268723,0.078661087,0.00889912,0.005341647,0.004961734,0.005589535
29-Apr,0.003974074,0.002370493,0.002679389,0.08183291,0.009661054,0.005762866,0.004196404,0.005646367
30-Apr,0.003788259,0.00249761,0.002574199,0.08422482,0.011989698,0.006590359,0.00406515,0.005674868
01-May,0.004680697,0.002816015,0.00253259,0.082924089,0.015808407,0.006147146,0.003807654,0.00506105
02-May,0.005579867,0.002734652,0.003161753,0.082320976,0.017034569,0.007044913,0.003884197,0.004711511
03-May,0.005098812,0.002734652,0.003414636,0.080966432,0.016339558,0.006342717,0.00358168,0.004818007
04-May,0.004359352,0.003269763,0.003967916,0.083282334,0.015658165,0.008861219,0.003313022,0.004738047
05-May,0.003500404,0.004143932,0.004449408,0.081710101,0.015434066,0.010175474,0.003961347,0.004475351
06-May,0.003535751,0.005156463,0.004553537,0.0810912,0.014917075,0.009653187,0.003782274,0.004142769
07-May,0.003190445,0.005046674,0.004898496,0.08084133,0.012727353,0.008256764,0.004490976,0.003918506
08-May,0.003258056,0.004446516,0.004117608,0.085263708,0.011017221,0.00942435,0.004710181,0.004295007
09-May,0.003258056,0.003788367,0.003844852,0.087714914,0.010267122,0.007933778,0.005334229,0.005253338
10-May,0.004164436,0.003631938,0.00519811,0.091487262,0.010083483,0.006001964,0.006296249,0.005818223
11-May,0.005446473,0.003788367,0.005617922,0.094436507,0.010022616,0.007147445,0.006203374,0.006050523
12-May,0.00488747,0.003948041,0.006556015,0.097777116,0.01032868,0.005434225,0.005717384,0.006616536
13-May,0.005402374,0.004243627,0.006984256,0.09981178,0.010576643,0.006690398,0.005657749,0.006616536
14-May,0.005056178,0.004866276,0.007614458,0.10093067,0.011989698,0.006293611,0.005363326,0.005847064
15-May,0.004126,0.004210266,0.009351929,0.103270187,0.013207527,0.006244648,0.005189692,0.00553293
16-May,0.00484575,0.004078116,0.012526221,0.107691896,0.013978938,0.006740627,0.005687536,0.005006632
17-May,0.00488747,0.004378368,0.013476414,0.110667163,0.016110913,0.006590359,0.006234271,0.00506105
18-May,0.00488747,0.005046674,0.012918795,0.113648713,0.019782471,0.009197555,0.007353739,0.005281039
19-May,0.004049673,0.005193318,0.011227607,0.114270222,0.022013526,0.012113684,0.008163359,0.006316139
20-May,0.003123557,0.005878781,0.009561406,0.114270222,0.020798274,0.012301756,0.009149988,0.006375777
21-May,0.003057394,0.005839603,0.009914597,0.113091268,0.020712711,0.011008018,0.010483495,0.006286404
22-May,0.003535751,0.00677329,0.010200786,0.113370585,0.02114218,0.0108876,0.012575881,0.006738235
23-May,0.00315691,0.006196844,0.00924788,0.11508989,0.020969896,0.009481368,0.013446408,0.007710838
24-May,0.003500404,0.004795023,0.008938502,0.117293321,0.021575786,0.009310696,0.013911616,0.007937583
25-May,0.004359352,0.006156635,0.009421551,0.12043841,0.025947973,0.007198917,0.013826564,0.008802339
26-May,0.006083097,0.006606016,0.008265995,0.123206289,0.03493924,0.007933778,0.012904773,0.009351929
27-May,0.006559859,0.006606016,0.007775357,0.122843463,0.044559702,0.00654055,0.013826564,0.011041397
28-May,0.008318593,0.007956181,0.0062271,0.122050898,0.053788709,0.006993853,0.01421093,0.011641591
29-May,0.010291038,0.007956181,0.007233753,0.120876217,0.060958987,0.008040909,0.015611307,0.012997884
30-May,0.010975105,0.007595932,0.006465648,0.119172069,0.065874427,0.009310696,0.016195095,0.012958316
31-May,0.011551534,0.010186809,0.006799413,0.117620966,0.063683781,0.009826148,0.017295154,0.01280052
01-Jun,0.010108376,0.012802788,0.007454893,0.116831934,0.058847417,0.012301756,0.017621409,0.012061479
02-Jun,0.008539533,0.015081945,0.009109865,0.118077027,0.057183361,0.013064723,0.017902985,0.012370536
03-Jun,0.007568587,0.016160988,0.010417535,0.119617935,0.05829024,0.014910248,0.018091689,0.012061479
04-Jun,0.007726256,0.018984012,0.011490366,0.120249931,0.063973856,0.013322813,0.018854361,0.012682676
05-Jun,0.008263821,0.018844515,0.013236294,0.121620409,0.06426455,0.012238946,0.018376221,0.012918795
06-Jun,0.007055012,0.022712123,0.012565263,0.123085553,0.068249437,0.012364685,0.01933738,0.013839786
07-Jun,0.005624698,0.025219022,0.013961759,0.125169503,0.068699149,0.011555946,0.019923408,0.015670767
08-Jun,0.0075164,0.024027832,0.012061479,0.126044469,0.066316731,0.011679045,0.019972558,0.018857473
09-Jun,0.007620959,0.024659604,0.010563034,0.129221499,0.065727302,0.013976187,0.020268468,0.02072725
10-Jun,0.008933301,0.025541463,0.010128937,0.130104739,0.063973856,0.015113307,0.020268468,0.023111914
11-Jun,0.00998753,0.024739143,0.008768428,0.132481551,0.061956346,0.012427733,0.02056611,0.024064016
12-Jun,0.012817992,0.024580191,0.008299125,0.134889775,0.066612372,0.012808511,0.019776248,0.024064016
13-Jun,0.0156288,0.023018421,0.006860809,0.137575107,0.069451751,0.01312907,0.020021756,0.02431709
