Date,2005,2006,2007,2008,2009,2010,2011,2012
03-Mar,0.001839696,0.00194289,0.002542711,0.003890729,0.005614373,0.001382412,0.000827001,0.001708138
04-Mar,0.001375128,0.002549821,0.00248816,0.004336883,0.005894274,0.001377767,0.000852178,0.00285606
05-Mar,0.002322772,0.003016296,0.002210761,0.003446404,0.005205642,0.001797962,0.000469439,0.003172301
06-Mar,0.001559998,0.003316893,0.002900435,0.003680724,0.002886573,0.001218078,0.000528752,0.001930343
07-Mar,0.001993662,0.002047149,0.002522239,0.00346431,0.006090559,0.002269913,0.000896313,0.00165606
08-Mar,0.003043119,0.001249226,0.002672797,0.003446404,0.006437076,0.000826862,0.000622051,0.001614994
09-Mar,0.002837866,0.001720105,0.003109155,0.003075099,0.004569473,0.000663492,0.000781348,0.001559393
10-Mar,0.001993662,0.002188997,0.002217482,0.003110065,0.004581102,0.001017063,0.000750581,0.001692428
11-Mar,0.002837866,0.002549821,0.002063493,0.004271173,0.004814917,0.000879465,0.000362395,0.001287298
12-Mar,0.002251619,0.002400304,0.001416497,0.003936713,0.004944486,0.001209125,0.000490556,0.001874858
13-Mar,0.002220103,0.001525682,0.002163778,0.003581183,0.005747902,0.001249563,0.000224741,0.001831069
14-Mar,0.001574937,0.001908548,0.00213029,0.003662582,0.005529725,0.001373127,0.000539957,0.001504794
15-Mar,0.002212234,0.001901705,0.003312439,0.002028702,0.005217576,0.001322383,0.000565644,0.002250412
16-Mar,0.002707656,0.001583179,0.002914298,0.003171459,0.004211896,0.001042688,0.000554146,0.001836514
17-Mar,0.00203244,0.001693729,0.002170483,0.004678178,0.00430362,0.001317798,0.000554146,0.002078503
18-Mar,0.00117245,0.00147518,0.002426952,0.004308695,0.003815306,0.000629855,0.000805752,0.001549392
19-Mar,0.001604878,0.001525682,0.001188684,0.003383891,0.003961702,0.000920554,0.000525971,0.001630331
20-Mar,0.00203244,0.001273038,0.002237659,0.002910188,0.004873728,0.001072814,0.000344567,0.001549392
21-Mar,0.002878743,0.001363672,0.002318571,0.002662342,0.004395732,0.001373127,0.000534339,0.001314678
22-Mar,0.002570334,0.001820234,0.001990298,0.002108859,0.004395732,0.001222562,0.000392432,0.00118074
23-Mar,0.002118142,0.000791085,0.002522239,0.002611665,0.00364776,0.001017063,0.000628162,0.001755718
24-Mar,0.001793875,0.001654424,0.002659069,0.003268455,0.003241026,0.001245051,0.00069109,0.00132387
25-Mar,0.001367808,0.002167516,0.002942047,0.002996739,0.004177601,0.00109883,0.000574354,0.001412843
26-Mar,0.001924147,0.001956684,0.001877779,0.002394532,0.002749219,0.001072814,0.00047467,0.001150551
27-Mar,0.002522127,0.001412865,0.002278074,0.00334828,0.003658883,0.001125024,0.000710619,0.001398597
28-Mar,0.002594489,0.001519338,0.002955932,0.002953395,0.004499816,0.000908171,0.000784809,0.001412843
29-Mar,0.002016915,0.001551147,0.002845058,0.002764322,0.004154769,0.000895836,0.001044262,0.001300951
30-Mar,0.001893372,0.001860818,0.002542711,0.001570107,0.003437708,0.001138187,0.001584845,0.001456027
31-Mar,0.001947278,0.001654424,0.002096861,0.002747268,0.003748109,0.001263126,0.001012074,0.001282763
01-Apr,0.001916447,0.00157034,0.00235238,0.003428518,0.00280189,0.001336168,0.001004115,0.001739784
02-Apr,0.001389787,0.001881224,0.001844828,0.00346431,0.003781678,0.001354611,0.000941685,0.001436752
